,all_urls_details
141,https://www.laithwaites.co.uk/product/Maison-SASSY-Brut-Cider-(33cl)-2020/4081020
142,https://www.laithwaites.co.uk/product/The-Black-Stump-Reserve-Shiraz-2021/0287221
143,https://www.laithwaites.co.uk/product/Champagne-Pol-Roger-Brut-R%C3%A9serve-(in-gift-box)-2021/1621518
144,https://www.laithwaites.co.uk/product/Le-Viti-di-Beatrice-Gavi-2021/4117121
145,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Moine-Vieux-Saint-%C3%89milion-Grand-Cru-2016/4143116
146,https://www.laithwaites.co.uk/product/Tenuta-di-Montecucco-Passonaia-2019/1933619
147,https://www.laithwaites.co.uk/product/The-Gooseberry-Bush-(3-litre-Bag-in-Box)-2022/4253822
148,https://www.laithwaites.co.uk/product/La-Chiamata-Montepulciano-d'Abruzzo-2019/3969819
149,https://www.laithwaites.co.uk/product/Domaine-du-Mas-Ensoleill%C3%A9-Ros%C3%A9-2021/3482521
150,https://www.laithwaites.co.uk/product/Uncle-Zin-2019/3684319
151,https://www.laithwaites.co.uk/product/Prim%C3%A1tor-Premium-Pilsner-Lager-(50cl)-2019/2642522
152,https://www.laithwaites.co.uk/product/Quinta-do-Esp%C3%ADrito-Santo-2020/0061720
153,https://www.laithwaites.co.uk/product/Il-Papavero-Prosecco-2020/2129521
154,https://www.laithwaites.co.uk/product/Il-Papavero-Rosato-2021/0212221
155,https://www.laithwaites.co.uk/product/Saracosa-Governo-Rosso-2021/3119021
156,https://www.laithwaites.co.uk/product/Visionario-2021/3682921
157,https://www.laithwaites.co.uk/product/Danaris-Gr%C3%BCner-Veltliner-2020/0091220
158,https://www.laithwaites.co.uk/product/Oriol-Rossell-Organic-Cava-Brut-2020/0413420
159,https://www.laithwaites.co.uk/product/Maison-Dominique-Piron-Beaujolais-Villages-2020/2587020
160,https://www.laithwaites.co.uk/product/Corsiero-Nero-2021/1541021
161,https://www.laithwaites.co.uk/product/Domaine-Michel-Thomas-Sancerre-Silex-2021/0419821
162,https://www.laithwaites.co.uk/product/Il-Pino-Pinot-Grigio-Rosato-2020/1631520
163,https://www.laithwaites.co.uk/product/Cloudy-Bay-Sauvignon-Blanc-2022/0927722
164,https://www.laithwaites.co.uk/product/Willy-Willy-Shiraz-2021/0017021
165,https://www.laithwaites.co.uk/product/Villa-Broglia-Gavi-di-Gavi-2021/0013221
166,https://www.laithwaites.co.uk/product/Sentiero-dei-Pini-Pinot-Grigio-2021/1905521
167,https://www.laithwaites.co.uk/product/Fili-Prosecco-2021/2631521
168,https://www.laithwaites.co.uk/product/Purple-Duck-Pinot-Noir-2021/4174921
169,https://www.laithwaites.co.uk/product/Porrais-Reserva-2021/1977121
170,https://www.laithwaites.co.uk/product/Willem-the-Silent-2020/3793820
171,https://www.laithwaites.co.uk/product/Vi%C3%B1a-Tarapac%C3%A1-Riverscape-Collection-Sauvignon-Blanc-2021/0012021
172,https://www.laithwaites.co.uk/product/Elands-Pass-Cabernet-Sauvignon-2020/3878120
173,https://www.laithwaites.co.uk/product/Opi-Malbec-Reserve-2020/2670020
174,https://www.laithwaites.co.uk/product/Berton-All-Out-Merlot-2021/1496121
175,https://www.laithwaites.co.uk/product/Il-Pino-Pinot-Grigio-2021/0536121
176,https://www.laithwaites.co.uk/product/L'%C3%89piphanie-de-Saint-%C3%89milion-Grand-Cru-2019/4144619
177,https://www.laithwaites.co.uk/product/Fleurie-Les-3-Madones-2020/4095620
178,https://www.laithwaites.co.uk/product/Pignello-Pignoletto-Frizzante-2020/4080620
179,https://www.laithwaites.co.uk/product/Colle-Marianna-Soave-2021/3204921
180,https://www.laithwaites.co.uk/product/Il-Basso-Merlot-2021/3761021
181,https://www.laithwaites.co.uk/product/My-Karp-Riesling-2021/2338321
182,https://www.laithwaites.co.uk/product/Vignobles-Canet-Picpoul-de-Pinet-2021/2032021
183,https://www.laithwaites.co.uk/product/Kutjevo-Gra%C5%A1evina-2021/3850121
184,https://www.laithwaites.co.uk/product/Vigne-del-Pareto-Gavi-2020/2257620
185,https://www.laithwaites.co.uk/product/The-Black-Stump-Chardonnay-Pinot-Grigio-2021/0066921
186,https://www.laithwaites.co.uk/product/Domaine-Le-Bac-2021/4073921
187,https://www.laithwaites.co.uk/product/Excelsior-Heritage-Reserve-Wild-Ferment-Chardonnay-2022/4164522
188,https://www.laithwaites.co.uk/product/End-of-the-Line-Malbec-2021/3471021
189,https://www.laithwaites.co.uk/product/La-Cantera-Reserva-2017/0825717
190,https://www.laithwaites.co.uk/product/Domaine-Figeat-les-Craies-2020/4227820
191,https://www.laithwaites.co.uk/product/Stonecast-Sauvignon-Blanc-2021/4139721
192,https://www.laithwaites.co.uk/product/Abbesse-Ros%C3%A9-2021/3190121
193,https://www.laithwaites.co.uk/product/Domaine-Serge-Laporte-Sancerre-2021/2239521
194,https://www.laithwaites.co.uk/product/Cuv%C3%A9e-du-Vatican-R%C3%A9serve-de-l'Abb%C3%A9-C%C3%B4tes-du-Rh%C3%B4ne-2020/2266020
195,https://www.laithwaites.co.uk/product/Grande-R%C3%A9serve-de-Gassac-Rouge-2020/0086620
196,https://www.laithwaites.co.uk/product/Terra-di-Nonno-Vermentino-2021/3796421
197,https://www.laithwaites.co.uk/product/Ixsir-Altitudes-Rouge-2018/4151518
198,https://www.laithwaites.co.uk/product/Kir-Yianni-Assyrtiko-2021/4240121
199,https://www.laithwaites.co.uk/product/Vilarissa-Valley-2019/4036719
