name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Le Zeitgeist Trident 2020,2020,11.50%,75cl,Sauvignon blend,France,White,Dry and Crisp Whites,Now - End 2024,Eric Lanxade,11.99,254,4.1 out of 5 stars from 254 customers,https://www.virginwines.co.uk/wine/Z40851101414/Le-Zeitgeist-Trident
Florel Vat 18 Reserve Malbec 2021,2021,14.00%,75cl,Malbec,Argentina,Red,Full Bodied Reds,Now - End 2025,Stephen Huse,13.99,213,4.2 out of 5 stars from 213 customers,https://www.virginwines.co.uk/wine/Z40888101414/Florel-Vat-18-Reserve-Malbec
Nadia's Pure Reserve Shiraz Cabernet 2020,2020,14.50%,75cl,Syrah / Shiraz blend,South Africa,Red,Full Bodied Reds,Now - End 2025,Nadia Engelbrecht,10.99,242,4 out of 5 stars from 242 customers,https://www.virginwines.co.uk/wine/Z40849101414/Nadias-Pure-Reserve-Shiraz-Cabernet
Isaac Cantalapiedra Cantayano Verdejo 2020,2020,13.50%,75cl,Verdejo Blends,Spain,White,Aromatic Whites,Now - End 2024,Manuel Cantalapiedra,16.99,10,3.6 out of 5 stars from 10 customers,https://www.virginwines.co.uk/wine/Z40867101434/Isaac-Cantalapiedra-Cantayano-Verdejo
Sherwood Estate Stratum Chardonnay 2021,2021,14.00%,75cl,Chardonnay,New Zealand,White,Dry and Crisp Whites,Now - End 2026,Petter Evans,15.99,5,4.2 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z40660101434/Sherwood-Estate-Stratum-Chardonnay
Community.Co Zero Alcohol Sparkling White NV,NV,0.00%,75cl,Other,Germany,Low / Alcohol Free Wines,Sparkling Non Champagne,David Rowledge,David Rowledge,5.49,35,4.1 out of 5 stars from 35 customers,https://www.virginwines.co.uk/wine/Z40819103330/Community.Co-Zero-Alcohol-Sparkling-White-
Familia Zuccardi Aluvional Los Chacayes Malbec 2016,2016,14.50%,75cl,Malbec,Argentina,Red,Full Bodied Reds,Now - End 2030,Sebastian Zuccardi,64.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z40117101318/Familia-Zuccardi-Aluvional-Los-Chacayes-Malbec-Z40117101318
Vina Albali De-Alcoholised Sauvignon Blanc 2020,2020,0.50%,75cl,Sauvignon Blanc,Spain,Low / Alcohol Free Wines,Aromatic Whites,Carlos Villarraso,Carlos Villarraso,5.49,38,3.1 out of 5 stars from 38 customers,https://www.virginwines.co.uk/wine/Z40693102951/Vina-Albali-De-Alcoholised-Sauvignon-Blanc
Vina Albali  De-Alcoholised Cabernet Sauvignon Tempranillo 2019,2019,0.50%,75cl,Cabernet blend,Spain,Low / Alcohol Free Wines,Light Reds,Carlos Villarraso,Carlos Villarraso,5.49,48,2.8 out of 5 stars from 48 customers,https://www.virginwines.co.uk/wine/Z40694102951/Vina-Albali-De-Alcoholised-Cabernet-Sauvignon-Tempranillo
Heinrichshof Schlossberg Trocken Riesling 2020,2020,12.50%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2027,Peter Griebeler,16.99,7,3.9 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z40230102619/Heinrichshof-Schlossberg-Trocken-Riesling
Community.Co Zero Alcohol Sparkling Rose NV,NV,0.00%,75cl,Other,Germany,Low / Alcohol Free Wines,Sparkling Non Champagne,David Rowledge,David Rowledge,5.49,30,4.2 out of 5 stars from 30 customers,https://www.virginwines.co.uk/wine/Z40820103330/Community.Co-Zero-Alcohol-Sparkling-Rose
Bodegas Tierra Rioja Blanco 2019,2019,13.50%,75cl,Viura blend,Spain,White,Dry and Crisp Whites,Now - End 2024,Carlos Fernandez,14.99,23,4.3 out of 5 stars from 23 customers,https://www.virginwines.co.uk/wine/Z40374103244/Bodegas-Tierra-Rioja-Blanco
5oS Project Cult Cave Shiraz 2019,2019,14.00%,75cl,Shiraz / Syrah,Australia,Red,Light Reds,Now - End 2023,Steve Grimley,17.99,59,3.6 out of 5 stars from 59 customers,https://www.virginwines.co.uk/wine/Z40044102291/5oS-Project-Cult-Cave-Shiraz
5OS Project Malbec Durif 2019,2019,14.00%,75cl,Malbec,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,24.99,27,4.1 out of 5 stars from 27 customers,https://www.virginwines.co.uk/wine/Z39104102291/5OS-Project-Malbec-Durif
Hambledon Vineyards Classic Cuvee Brut NV,NV,12.00%,75cl,Champagne blend,England,Sparkling,English Sparkling Wine,Within 2 years of purchase,Herve Jestin,30,10,4.2 out of 5 stars from 10 customers,https://www.virginwines.co.uk/wine/Z40359100003/Hambledon-Vineyards-Classic-Cuvee-Brut-Z40359100003
Compadre Shiraz Malbec 2021,2021,12.50%,75cl,Syrah / Shiraz blend,Argentina,Red,Full Bodied Reds,Now - End 2026,Ruben Ruffo,10.99,119,3.8 out of 5 stars from 119 customers,https://www.virginwines.co.uk/wine/Z40111101318/Compadre-Shiraz-Malbec-Z40111101318
Fincas del Sur Malbec 2021,2021,14.50%,75cl,Malbec,Argentina,Red,Full Bodied Reds,Now - End 2028,Ruben Ruffo,13.99,183,4.3 out of 5 stars from 183 customers,https://www.virginwines.co.uk/wine/Z40110101318/Fincas-del-Sur-Malbec-Z40110101318
Vitalita Falanghina 2020,2020,13.00%,75cl,Falanghina,Italy,White,Aromatic Whites,Now - End 2022,Donato Giuliani,9.99,368,4.1 out of 5 stars from 368 customers,https://www.virginwines.co.uk/wine/Z40049101414/Vitalita-Falanghina
Le Zeitgeist Sauvignon Blanc 2021,2021,11.50%,75cl,Sauvignon Blanc,France,White,Fruity Whites,Now - End 2027,Eric Lanxade,11.99,635,4.1 out of 5 stars from 635 customers,https://www.virginwines.co.uk/wine/Z40022101414/Le-Zeitgeist-Sauvignon-Blanc
