name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Veuve Clicquot Ponsardin Vintage Brut 2012,2012,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Now - End 2024,Didier Mariotti,63.99,10,5 out of 5 stars from 10 customers,https://www.virginwines.co.uk/wine/Z36216101524/Veuve-Clicquot-Ponsardin-Vintage-Brut
Finca Los Principes Rioja Reserva 2016,2016,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2026,Pilar Avellanas,15.99,185,4.3 out of 5 stars from 185 customers,https://www.virginwines.co.uk/wine/Z38446101945/Finca-Los-Principes-Rioja-Reserva-Z38446101945
Le Zeitgeist Malbec 2021,2021,13.00%,75cl,Malbec,France,Red,Full Bodied Reds,Now - End 2025,Philippe Fabre,9.99,196,4 out of 5 stars from 196 customers,https://www.virginwines.co.uk/wine/Z38985101414/Le-Zeitgeist-Malbec
El Cabanero Garnacha Rosado Magnum 2018,2018,11.50%,Magnum1.5L,Grenache / Garnacha,Spain,Rosé,Dry and Fruity Rosé,Now - End 2022,Antonio Serrano,19.99,75,4.1 out of 5 stars from 75 customers,https://www.virginwines.co.uk/wine/Z39003101414/El-Cabanero-Garnacha-Rosado-Magnum
Casal Sobreiro Tinto NV,NV,13.00%,75cl,Other red grapes,Portugal,Red,Light Reds,Within 3 years of purchase,Mauro Azoia,9.99,734,4 out of 5 stars from 734 customers,https://www.virginwines.co.uk/wine/Z38990102951/Casal-Sobreiro-Tinto
Bastions V Merlot 2021,2021,14.00%,75cl,Merlot,South Africa,Red,Light Reds,Now - End 2023,Ryno Booysen,11.99,233,4 out of 5 stars from 233 customers,https://www.virginwines.co.uk/wine/Z38771100009/Bastions-V-Merlot
L'Emigre Blanc 2020,2020,13.00%,75cl,Sauvignon blend,France,White,Dry and Crisp Whites,Now - End 2024,Nicola and Sean Allison,15.99,403,4 out of 5 stars from 403 customers,https://www.virginwines.co.uk/wine/Z37283100783/LEmigre-Blanc
Champagne Gaston Declos Brut NV,NV,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Within 2 years of purchase,Cyril  Gyejacquot,32.99,456,4.3 out of 5 stars from 456 customers,https://www.virginwines.co.uk/wine/Z38950102166/Champagne-Gaston-Declos-Brut
Astro Costera Cabernet Sauvignon 2021,2021,13.00%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2024,Hernan de la Barra,10.99,439,4.1 out of 5 stars from 439 customers,https://www.virginwines.co.uk/wine/Z38891101414/Astro-Costera-Cabernet-Sauvignon
Black Flag Winemakers McLaren Vale Durif Blend 2016,2016,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2024,Steve Grimley,16.99,81,4.3 out of 5 stars from 81 customers,https://www.virginwines.co.uk/wine/Z38483102291/Black-Flag-Winemakers-McLaren-Vale-Durif-Blend
Clos du Gaimont Vouvray Sec 2020,2020,14.00%,75cl,Chenin Blanc,France,White,Dry and Crisp Whites,Now - End 2026,Francois Chainier,14.99,167,4.1 out of 5 stars from 167 customers,https://www.virginwines.co.uk/wine/Z33735100020/Clos-du-Gaimont-Vouvray-Sec
The Intrepid Bear 'Brown Bear' Reserve Pinot Noir 2020,2020,13.50%,75cl,Pinot Noir,USA,Red,Light Reds,Now - End 2026,Natale Gagliardo,11.99,2715,3.9 out of 5 stars from 2715 customers,https://www.virginwines.co.uk/wine/Z36573101414/The-Intrepid-Bear-Brown-Bear-Reserve-Pinot-Noir
The Black Pig The Prize Chardonnay 2021,2021,13.00%,75cl,Chardonnay,Australia,White,Oaky Whites,Now - End 2027,Fuse Winemaking Team,19.99,1209,4.4 out of 5 stars from 1209 customers,https://www.virginwines.co.uk/wine/Z38681102291/The-Black-Pig-The-Prize-Chardonnay
De Martino Single Vineyard Las Cruces 2018,2018,13.50%,75cl,Malbec blend,Chile,Red,Full Bodied Reds,Now - End 2029,Marcelo Retamal,29.99,19,4.4 out of 5 stars from 19 customers,https://www.virginwines.co.uk/wine/Z35872100741/De-Martino-Single-Vineyard-Las-Cruces
Thistledown Thorny Devil Barossa Valley Old Vine Grenache 2020,2020,14.50%,75cl,Grenache / Garnacha,Australia,Red,Full Bodied Reds,Now - End 2033,Giles Cooke MW,16.99,29,4.5 out of 5 stars from 29 customers,https://www.virginwines.co.uk/wine/Z38703101434/Thistledown-Thorny-Devil-Barossa-Valley-Old-Vine-Grenache
Thistledown Suilven Adelaide Hills Chardonnay 2018,2018,12.50%,75cl,Chardonnay,Australia,White,Oaky Whites,Now - End 2025,Giles Cooke MW,41.99,2,4 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z38704101434/Thistledown-Suilven-Adelaide-Hills-Chardonnay
Monos Locos Cabernet Sauvignon 2021,2021,13.00%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2024,Hernan de la Barra,9.99,491,4 out of 5 stars from 491 customers,https://www.virginwines.co.uk/wine/Z38350101414/Monos-Locos-Cabernet-Sauvignon-Z38350101414
Uggiano Lucere Chianti DOCG 2020,2020,13.00%,75cl,Sangiovese blend,Italy,Red,Classic Reds,Now - End 2024,Daniele Prosperi,11.99,249,3.9 out of 5 stars from 249 customers,https://www.virginwines.co.uk/wine/Z38830100029/Uggiano-Lucere-Chianti-DOCG
Cederberg Sauvignon Blanc 2020,2020,13.00%,75cl,Sauvignon Blanc,South Africa,White,Fruity Whites,Now - End 2024,David Nieuwoudt,14.99,72,4.2 out of 5 stars from 72 customers,https://www.virginwines.co.uk/wine/Z36884102131/Cederberg-Sauvignon-Blanc
Capcanes Cabrida Garnacha 2016,2016,15.00%,75cl,Grenache / Garnacha,Spain,Red,Full Bodied Reds,Now - End 2031,Anna Rovira,32.99,6,3.5 out of 5 stars from 6 customers,https://www.virginwines.co.uk/wine/Z38230101434/Capcanes-Cabrida-Garnacha
Finca Los Principes La Canada Rioja 2019,2019,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2024,Pilar Avellanas,10.99,502,4.1 out of 5 stars from 502 customers,https://www.virginwines.co.uk/wine/Z38444101945/Finca-Los-Principes-La-Canada-Rioja-Z38444101945
Johner Gladstone Sauvignon Blanc 2020,2020,13.00%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2024,Karl and Patrick Johner,19.99,35,4.4 out of 5 stars from 35 customers,https://www.virginwines.co.uk/wine/Z38276102638/Johner-Gladstone-Sauvignon-Blanc
Cirque de Navacelles Reserve d'Heric 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2024,Gavin Crisfield,9.99,960,4 out of 5 stars from 960 customers,https://www.virginwines.co.uk/wine/Z36559101061/Cirque-de-Navacelles-Reserve-dHeric
5OS Project McLaren Vale Grenache 2018,2018,14.00%,75cl,Grenache / Garnacha,Australia,Red,Full Bodied Reds,Now - End 2024,Steve Grimley,15.99,27,4.6 out of 5 stars from 27 customers,https://www.virginwines.co.uk/wine/Z38757102291/5OS-Project-McLaren-Vale-Grenache
Du Clos Rocher de Vierge Vieilles Vignes 2019,2019,14.00%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2025,Gavin Crisfield,13.99,330,3.8 out of 5 stars from 330 customers,https://www.virginwines.co.uk/wine/Z34979101061/Du-Clos-Rocher-de-Vierge-Vieilles-Vignes
Champagne Vilmart Grand Cellier d'Or 2015,2015,12.50%,75cl,Chardonnay blend,France,Sparkling,Champagne,Now - End 2032,Laurent Champs,59.99,4,4.5 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z38801100834/Champagne-Vilmart-Grand-Cellier-dOr
Magnifica Coteaux du Languedoc 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2024,Gavin Crisfield,12.99,289,3.8 out of 5 stars from 289 customers,https://www.virginwines.co.uk/wine/Z35987101061/Magnifica-Coteaux-du-Languedoc
Riecine Chianti Classico 2018,2018,14.00%,75cl,Sangiovese,Italy,Red,Classic Reds,Now - End 2027,Lana Frank,22.99,21,3.9 out of 5 stars from 21 customers,https://www.virginwines.co.uk/wine/Z38842101434/Riecine-Chianti-Classico
Finca Los Principes El Rihuelo Rioja 2019,2019,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2023,Pilar Avellanas,12.99,1394,4.2 out of 5 stars from 1394 customers,https://www.virginwines.co.uk/wine/Z38443101945/Finca-Los-Principes-El-Rihuelo-Rioja-Z38443101945
Les Arbousiers Syrah Grenache 2020,2020,13.50%,75cl,Syrah Shiraz Blends,France,Red,Light Reds,Now - End 2023,Isabelle Pangault,9.99,435,4.1 out of 5 stars from 435 customers,https://www.virginwines.co.uk/wine/Z38685101414/Les-Arbousiers-Syrah-Grenache
5OS Project Sagrantino 2017,2017,14.00%,75cl,Other red grapes,Australia,Red,Classic Reds,Now - End 2023,Steve Grimley,13.99,9,3.9 out of 5 stars from 9 customers,https://www.virginwines.co.uk/wine/Z38490102291/5OS-Project-Sagrantino
Belmonte Marlborough Albarino 2020,2020,13.00%,75cl,Albarino,New Zealand,White,Aromatic Whites,Now - End 2025,Dr John Forrest,15.99,44,4.3 out of 5 stars from 44 customers,https://www.virginwines.co.uk/wine/Z38662100586/Belmonte-Marlborough-Albarino
Mountain View Marlborough Rose 2020,2020,9.50%,75cl,Pinot Noir,New Zealand,Rosé,Dry and Fruity Rosé,Now - End 2023,Beth Forrest,13.99,90,4.2 out of 5 stars from 90 customers,https://www.virginwines.co.uk/wine/Z38661100586/Mountain-View-Marlborough-Rose
Domaine de la Berthete Clement V Cotes du Rhone 2020,2020,14.50%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2025,Pascal Maillet,13.99,192,4.1 out of 5 stars from 192 customers,https://www.virginwines.co.uk/wine/Z38739101434/Domaine-de-la-Berthete-Clement-V-Cotes-du-Rhone
Thistledown Vagabond McLaren Vale Old Vine Grenache 2019,2019,14.50%,75cl,Grenache / Garnacha,Australia,Red,Full Bodied Reds,Now - End 2026,Giles Cooke MW,19.99,4,2.8 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z38705101434/Thistledown-Vagabond-McLaren-Vale-Old-Vine-Grenache
Finca Manzanos Rioja Rosado 2020,2020,13.00%,75cl,Grenache / Garnacha blend,Spain,Rosé,Dry and Fruity Rosé,Now - End 2023,Borja Ripa,11.99,171,4 out of 5 stars from 171 customers,https://www.virginwines.co.uk/wine/Z38736101434/Finca-Manzanos-Rioja-Rosado
Domaine la Cabotte Cotes du Rhone Villages Massif d'Uchaux 2019,2019,14.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2025,Marie-Pierre Plumet,13.99,12,3.5 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z38791101935/Domaine-la-Cabotte-Cotes-du-Rhone-Villages-Massif-dUchaux-Biodynamic
De Martino Lote 25 Maipo Valley Cabernet Sauvignon 2019,2019,13.50%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2026,Nicolas Perez,10.99,81,4.1 out of 5 stars from 81 customers,https://www.virginwines.co.uk/wine/Z38553100741/De-Martino-Lote-25-Maipo-Valley-Cabernet-Sauvignon
De Martino Lote 96 Maipo Valley Carmenere 2019,2019,13.50%,75cl,Carmenere,Chile,Red,Full Bodied Reds,Now - End 2026,Nicolas Perez,10.99,109,4.1 out of 5 stars from 109 customers,https://www.virginwines.co.uk/wine/Z38554100741/De-Martino-Lote-96-Maipo-Valley-Carmenere
De Martino Lote 02 Limari Valley Pinot Noir 2020,2020,13.50%,75cl,Pinot Noir,Chile,Red,Light Reds,Now - End 2027,Marcelo Retamal and Eduardo Jordan,10.99,106,3.9 out of 5 stars from 106 customers,https://www.virginwines.co.uk/wine/Z38555100741/De-Martino-Lote-02-Limari-Valley-Pinot-Noir
De Martino Single Vineyard La Cancha 2016,2016,13.00%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2026,Nicolas Perez,24.99,5,4.6 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z38558100741/De-Martino-Single-Vineyard-La-Cancha
Reino de Altuzarra Navarra Crianza 2018,2018,13.50%,75cl,Grenache / Garnacha blend,Spain,Red,Classic Reds,Now - End 2028,Borja Ripa,11.99,332,4.1 out of 5 stars from 332 customers,https://www.virginwines.co.uk/wine/Z38636101434/Reino-de-Altuzarra-Navarra-Crianza
De Martino Lote 03 Limari Valley Chardonnay 2018,2018,13.50%,75cl,Chardonnay,Chile,White,Dry and Crisp Whites,Now - End 2025,Nicolas Perez,10.99,84,3.8 out of 5 stars from 84 customers,https://www.virginwines.co.uk/wine/Z38552100741/De-Martino-Lote-03-Limari-Valley-Chardonnay
De Martino Viejas Tinajas Cinsault 2018,2018,12.50%,75cl,Cinsault,Chile,Red,Light Reds,Now - End 2023,Nicolas Perez,15.99,16,3.2 out of 5 stars from 16 customers,https://www.virginwines.co.uk/wine/Z37225100741/De-Martino-Viejas-Tinajas-Cinsault
Trimbach Pinot Noir Reserve 2020,2020,14.00%,75cl,Pinot Noir,France,Red,Light Reds,Now - End 2028,Pierre Trimbach,18.99,43,4.3 out of 5 stars from 43 customers,https://www.virginwines.co.uk/wine/Z38572102951/Trimbach-Pinot-Noir-Reserve
Kuehn Alsace Muscat 2019,2019,12.50%,75cl,Muscat,France,White,Fruity Whites,Now - End 2022,Francis Klee,13.99,57,4.1 out of 5 stars from 57 customers,https://www.virginwines.co.uk/wine/Z38614102741/Kuehn-Alsace-Muscat
Trimbach Riesling 2018,2018,13.00%,75cl,Riesling,France,White,Aromatic Whites,Now - End 2024,Pierre Trimbach,16.99,57,4.1 out of 5 stars from 57 customers,https://www.virginwines.co.uk/wine/Z38571102951/Trimbach-Riesling
Brio Montepulciano d'Abruzzo 2021,2021,12.50%,75cl,Montepulciano,Italy,Red,Light Reds,Now - End 2024,Carmine de Lure,10.99,1702,3.8 out of 5 stars from 1702 customers,https://www.virginwines.co.uk/wine/Z38618102988/Brio-Montepulciano-dAbruzzo
Senorio de Algas Gran Reserva 2015,2015,13.50%,75cl,Cabernet blend,Spain,Red,Classic Reds,Now - End 2026,Antonio Serrano,11.99,1516,4 out of 5 stars from 1516 customers,https://www.virginwines.co.uk/wine/Z38532102647/Senorio-de-Algas-Gran-Reserva
Torre Aguila Gran Reserva 2015,2015,13.50%,75cl,Cabernet blend,Spain,Red,Classic Reds,Now - End 2027,Antonio Serrano,12.99,2821,3.9 out of 5 stars from 2821 customers,https://www.virginwines.co.uk/wine/Z38533102647/Torre-Aguila-Gran-Reserva
Kirriemuir Semillon Chardonnay 2021,2021,12.00%,75cl,Semillon blend,Australia,White,Dry and Crisp Whites,Now - End 2024,Fuse Winemaking Team,10.99,966,3.9 out of 5 stars from 966 customers,https://www.virginwines.co.uk/wine/Z38519102291/Kirriemuir-Semillon-Chardonnay
Pieropan La Rocca Soave Classico 2019,2019,13.00%,75cl,Garganega,Italy,White,Fruity Whites,Now - End 2031,Dario Pieropan,33.99,5,3.8 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z38730100089/Pieropan-La-Rocca-Soave-Classico
Pablo Claro Garnacha 2020,2020,13.50%,75cl,Grenache / Garnacha,Spain,Red,Full Bodied Reds,Now - End 2024,Ruth Fernandez,10.99,91,3.9 out of 5 stars from 91 customers,https://www.virginwines.co.uk/wine/Z38583102131/Pablo-Claro-Garnacha
Clos de St Felix Cuvee Sauvage 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2024,Gavin Crisfield,12.99,491,4 out of 5 stars from 491 customers,https://www.virginwines.co.uk/wine/Z36054101061/Clos-de-St-Felix-Cuvee-Sauvage
Perez Cruz Limited Edition Carmenere 2019,2019,14.00%,75cl,Carmenere,Chile,Red,Full Bodied Reds,Now - End 2024,German Lyon,17.99,230,4.5 out of 5 stars from 230 customers,https://www.virginwines.co.uk/wine/Z36302100826/Perez-Cruz-Limited-Edition-Carmenere
Le Fils Prodigue Carmenere Cabernet Sauvignon Graves AOC 2016,2016,13.50%,75cl,Carmenere blend,France,Red,Classic Reds,Now - End 2024,Nicola and Sean Allison,29.99,13,4.6 out of 5 stars from 13 customers,https://www.virginwines.co.uk/wine/Z38518100783/Le-Fils-Prodigue-Carmenere-Cabernet-Sauvignon-Graves-AOC
Just the Juice Dry Riesling 2020,2020,13.50%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2025,Christoph Schwertl,13.99,246,4.1 out of 5 stars from 246 customers,https://www.virginwines.co.uk/wine/Z38632102989/Just-the-Juice-Dry-Riesling
Marchesi di Gresy Martinenga Barbaresco DOCG 2016,2016,14.50%,75cl,Nebbiolo,Italy,Red,Classic Reds,Now - End 2031,,59.99,5,3 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z38615100020/Marchesi-di-Gresy-Martinenga-Barbaresco-DOCG
Corvezzo Prosecco DOC Treviso Organic Extra Dry NV,NV,11.50%,75cl,Prosecco (Glera),Italy,Sparkling,Prosecco,Within 1 year of purchase,Fabio Bigolin,14.99,207,4.4 out of 5 stars from 207 customers,https://www.virginwines.co.uk/wine/Z38585102155/Corvezzo-Prosecco-DOC-Treviso-Organic-Extra-Dry
Domaine Michel Girard Sancerre Rouge 2020,2020,13.50%,75cl,Pinot Noir,France,Red,Classic Reds,Now - End 2025,Philippe Girard,19.99,105,4.2 out of 5 stars from 105 customers,https://www.virginwines.co.uk/wine/Z33737100020/Domaine-Michel-Girard-Sancerre-Rouge
Ca' de Monaci Lambrusco Salamino DOC NV,NV,8.00%,75cl,Lambrusco,Italy,Sparkling,Sparkling Red Wine,Within 1 year of purchase,Umberto Menini,9.99,62,4.1 out of 5 stars from 62 customers,https://www.virginwines.co.uk/wine/Z38617102461/Ca-de-Monaci-Lambrusco-salamino-DOC
Pizo Crianza 2018,2018,13.50%,75cl,Grenache / Garnacha blend,Spain,Red,Full Bodied Reds,Now - End 2025,Antonio Serrano,11.99,1099,4.1 out of 5 stars from 1099 customers,https://www.virginwines.co.uk/wine/Z38400102647/Pizo-Crianza
Aguila Chillando Garnacha Tempranillo 2020,2020,14.00%,75cl,Grenache / Garnacha blend,Spain,Red,Light Reds,Now - End 2024,Antonio Serrano,9.99,1698,4 out of 5 stars from 1698 customers,https://www.virginwines.co.uk/wine/Z38416102647/Aguila-Chillando-Garnacha-Tempranillo
Brio Soave DOC 2020,2020,11.50%,75cl,Garganega,Italy,White,Dry and Crisp Whites,Now - End 2022,Edoardo Lessio,9.99,1368,3.9 out of 5 stars from 1368 customers,https://www.virginwines.co.uk/wine/Z38403102951/Brio-Soave-DOC
Pizo Gran Reserva 2015,2015,13.50%,75cl,Cabernet blend,Spain,Red,Classic Reds,Now - End 2026,Antonio Serrano,13.99,1722,4.2 out of 5 stars from 1722 customers,https://www.virginwines.co.uk/wine/Z38506102647/Pizo-Gran-Reserva
Reino de Altuzarra Navarra Reserva 2013,2013,13.50%,75cl,Cabernet blend,Spain,Red,Classic Reds,Now - End 2024,Borja Ripa,14.99,555,4.1 out of 5 stars from 555 customers,https://www.virginwines.co.uk/wine/Z37471101434/Reino-de-Altuzarra-Navarra-Reserva
Bastions V Sauvignon Blanc 2021,2021,13.00%,75cl,Sauvignon Blanc,South Africa,White,Fruity Whites,Now - End 2023,Ryno Booysen,10.99,827,4.1 out of 5 stars from 827 customers,https://www.virginwines.co.uk/wine/Z37421100009/Bastions-V-Sauvignon-Blanc
Bastions V Semillon 2021,2021,13.00%,75cl,Semillon,South Africa,White,Dry and Crisp Whites,Now - End 2024,Ryno Booysen,10.99,696,4.1 out of 5 stars from 696 customers,https://www.virginwines.co.uk/wine/Z38404100009/Bastions-V-Semillon
Juan de Juanes Garnacha Tempranillo Syrah 2020,2020,13.50%,75cl,Grenache / Garnacha blend,Spain,Red,Light Reds,Now - End 2023,Jorge Caus,9.99,1001,4 out of 5 stars from 1001 customers,https://www.virginwines.co.uk/wine/Z38408101060/Juan-de-Juanes-Garnacha-Tempranillo-Syrah
Aguila Chillando Garnacha 2020,2020,14.50%,75cl,Grenache / Garnacha,Spain,Red,Light Reds,Now - End 2024,Antonio Serrano,9.99,1114,4 out of 5 stars from 1114 customers,https://www.virginwines.co.uk/wine/Z38415102647/Aguila-Chillando-Garnacha
Finca Los Principes Rioja Crianza 2018,2018,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2024,Pilar Avellanas,12.99,101,4.1 out of 5 stars from 101 customers,https://www.virginwines.co.uk/wine/Z38445101945/Finca-Los-Principes-Rioja-Crianza-Z38445101945
Billy Bosch Western Cape Reserve Shiraz 2021,2021,14.50%,75cl,Shiraz / Syrah,South Africa,Red,Full Bodied Reds,Now - End 2025,Ryno Booysen,10.99,2402,4.3 out of 5 stars from 2402 customers,https://www.virginwines.co.uk/wine/Z36265100009/Billy-Bosch-Western-Cape-Reserve-Shiraz
Billy Bosch Reserve Sauvignon Blanc 2021,2021,13.00%,75cl,Sauvignon Blanc,South Africa,White,Fruity Whites,Now - End 2024,Ryno Booysen,10.99,1729,4.2 out of 5 stars from 1729 customers,https://www.virginwines.co.uk/wine/Z36243100009/Billy-Bosch-Reserve-Sauvignon-Blanc
Tenuta Olim Bauda Barbera d'Asti Superiore DOC Nizza 2016,2016,15.00%,75cl,Barbera,Italy,Red,Full Bodied Reds,Now - End 2029,Dino Diana and Gianni Bertolino,32.99,56,4.5 out of 5 stars from 56 customers,https://www.virginwines.co.uk/wine/Z36912101434/Tenuta-Olim-Bauda-Barbera-dAsti-Superiore-DOC-Nizza
Tenuta Olim Bauda Gavi di Gavi 2020,2020,13.50%,75cl,Cortese (Gavi),Italy,White,Dry and Crisp Whites,Now - End 2024,Dino Bertolino,17.99,133,4.3 out of 5 stars from 133 customers,https://www.virginwines.co.uk/wine/Z37068101434/Tenuta-Olim-Bauda-Gavi-di-Gavi
Albacore Longfin Shiraz 2019,2019,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2032,Fuse Winemaking Team,19.99,2258,4.5 out of 5 stars from 2258 customers,https://www.virginwines.co.uk/wine/Z36831102291/Albacore-Longfin-Shiraz
Legado del Fraile Albarino 2020,2020,13.00%,75cl,Albarino,Spain,White,Dry and Crisp Whites,Now - End 2023,Christian Charrasse,15.99,131,4.2 out of 5 stars from 131 customers,https://www.virginwines.co.uk/wine/Z38435101434/Legado-del-Fraile-Albarino
Chateau Lauzanet Bordeaux Rouge 2019,2019,14.50%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2029,Patrick Forcato,13.99,170,4.1 out of 5 stars from 170 customers,https://www.virginwines.co.uk/wine/Z38448100780/Chateau-Lauzanet-Bordeaux-Rouge
Bodegas Amaren Angeles de Amaren Rioja 2015,2015,14.50%,75cl,Tempranillo blend,Spain,Red,Classic Reds,Now - End 2031,Fidel Fernández Góme,23.99,53,4.4 out of 5 stars from 53 customers,https://www.virginwines.co.uk/wine/Z38433101434/Bodegas-Amaren-Angeles-de-Amaren-Rioja
Bodegas Amaren Rioja Blanco 2018,2018,14.50%,75cl,Viura blend,Spain,White,Dry and Crisp Whites,Now - End 2027,Fidel Fernández Góme,18.99,15,4 out of 5 stars from 15 customers,https://www.virginwines.co.uk/wine/Z38432101434/Bodegas-Amaren-Rioja-Blanco
Cascina Adelaide Barolo DOCG Baudana 2017,2017,14.50%,75cl,Nebbiolo,Italy,Red,Classic Reds,Now - End 2034,Sergio Molino,54.99,6,4.5 out of 5 stars from 6 customers,https://www.virginwines.co.uk/wine/Z38442101434/Cascina-Adelaide-Barolo-DOCG-Baudana
Nu Allonge Cava Brut NV,NV,11.50%,75cl,Xarel - Lo,Spain,Sparkling,Cava,Within 2 years of purchase,Oscar Barrado and Jordi Valles ,12.99,188,4.2 out of 5 stars from 188 customers,https://www.virginwines.co.uk/wine/Z38345101434/Nu-Allonge-Cava-Brut
Billy Bosch Bush Vine Chenin Blanc 2021,2021,12.50%,75cl,Chenin Blanc,South Africa,White,Dry and Crisp Whites,Now - End 2023,Ryno Booysen,9.99,940,4.2 out of 5 stars from 940 customers,https://www.virginwines.co.uk/wine/Z38219100009/Billy-Bosch-Bush-Vine-Chenin-Blanc
Domaine Billaud-Simon Chablis 2019,2019,13.00%,75cl,Chardonnay blend,France,White,Dry and Crisp Whites,Now - End 2025,Olivier Bailly,26.99,25,4.2 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z38368102131/Domaine-Billaud-Simon-Chablis
Walnut Block Marlborough Pinot Noir 2019,2019,13.50%,75cl,Pinot Noir,New Zealand,Red,Light Reds,Now - End 2029,Gordon Ritchie,22,40,4.3 out of 5 stars from 40 customers,https://www.virginwines.co.uk/wine/Z38163102872/Walnut-Block-Marlborough-Pinot-Noir-Z38163102872
Walnut Block Marlborough Sauvignon Blanc 2020,2020,13.00%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2024,Gordon Ritchie,14.99,263,4.3 out of 5 stars from 263 customers,https://www.virginwines.co.uk/wine/Z38162102872/Walnut-Block-Marlborough-Sauvignon-Blanc-Z38162102872
Kurt Angerer Donatus Riesling 2017,2017,13.50%,75cl,Riesling,Austria,White,Dry and Crisp Whites,Now - End 2027,Kurt Angerer,19.99,10,3.8 out of 5 stars from 10 customers,https://www.virginwines.co.uk/wine/Z38260102920/Kurt-Angerer-Donatus-Riesling
Heranca Late bottled Vintage Port 2016,2016,20.00%,75cl,Port Blends,Portugal,Fortified,Port and Fortified,Now - End 2027,David Guimaraens,19.99,140,4.4 out of 5 stars from 140 customers,https://www.virginwines.co.uk/wine/Z38200100003/Heranca-Late-bottled-Vintage-Port
Cascina Adelaide Langhe DOC Nebbiolo 2019,2019,13.00%,75cl,Nebbiolo,Italy,Red,Classic Reds,Now - End 2027,Sergio Molino,19.99,31,3.8 out of 5 stars from 31 customers,https://www.virginwines.co.uk/wine/Z38233101434/Cascina-Adelaide-Langhe-DOC-Nebbiolo
