rating,num_review,wine_type,size (cL),name,price,country,abv,year,url
0.0,0,white,75.0,Hugel Alsace Riesling Classic,17.72,France,12.7,2020.0,https://www.decantalo.com/uk/en/hugel-alsace-riesling-classic.html#/1-volume-75_cl/158-year-2020
4.0,7,white,75.0,Lolo,9.31,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/lolo.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Ermita d'Espiells,10.12,Spain,11.5,2021.0,https://www.decantalo.com/uk/en/ermita-d-espiells.html#/1-volume-75_cl/201-year-2021
5.0,4,white,75.0,Soalheiro Alvarinho,13.47,Portugal,12.5,2021.0,https://www.decantalo.com/uk/en/soalheiro-alvarinho.html#/1-volume-75_cl/201-year-2021
4.6,5,white,75.0,Ramón Bilbao Verdejo,9.74,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/ramon-bilbao-verdejo.html#/1-volume-75_cl/201-year-2021
4.4,5,white,75.0,Basa,9.57,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/basa.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Dr. Loosen Dr. L. Riesling Dry,10.85,Germany,12.0,2021.0,https://www.decantalo.com/uk/en/dr-loosen-dr-l-riesling-dry.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Luis Seabra Xisto Ilimitado Blanco,out of stock,Portugal,12.0,2020.0,https://www.decantalo.com/uk/en/luis-seabra-xisto-ilimitado-blanco.html#/1-volume-75_cl/158-year-2020
5.0,1,white,75.0,Paco & Lola Vintage,19.91,Spain,12.5,2016.0,https://www.decantalo.com/uk/en/paco-lola-vintage.html#/1-volume-75_cl/102-year-2016
4.5,6,white,75.0,Zárate Albariño,14.41,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/zarate-albarino.html#/1-volume-75_cl/201-year-2021
4.6,5,white,75.0,Ultreia Godello,15.92,Spain,11.8,2020.0,https://www.decantalo.com/uk/en/ultreia-godello.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Maruxa Godello,10.64,Spain,13.4,2021.0,https://www.decantalo.com/uk/en/maruxa-godello.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Destinos Cruzados Pousada,21.97,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/destinos-cruzados-pousada.html#/1-volume-75_cl/158-year-2020
4.5,2,white,75.0,Cullerot,10.9,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/cullerot.html#/1-volume-75_cl/201-year-2021
5.0,11,white,75.0,Gramona Gessamí,12.87,Spain,11.2,2022.0,https://www.decantalo.com/uk/en/gramona-gessami.html#/1-volume-75_cl/216-year-2022
4.7,3,white,75.0,Izadi Selección Blanco,12.36,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/izadi-seleccion-blanco.html#/1-volume-75_cl/201-year-2021
4.8,11,white,75.0,Marqués de Riscal Verdejo 100% Organic,10.21,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/marques-de-riscal-verdejo.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Terra 00 Chenin Blanc Lo Natural,13.81,Spain,13.5,2019.0,https://www.decantalo.com/uk/en/terra00-chenin-blanc-lo-natural.html#/1-volume-75_cl/114-year-2019
4.8,19,white,75.0,Mar de Frades Albariño,16.26,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/mar-de-frades-albarino.html#/1-volume-75_cl/201-year-2021
5.0,5,white,75.0,Vol d'Ànima de Raimat Blanc,9.52,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/anima-de-raimat-blanc.html#/1-volume-75_cl/201-year-2021
5.0,9,white,75.0,Lagar de Cervera,13.26,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/lagar-de-cervera.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Raimat Turons de la Pleta,18.49,Spain,13.5,2020.0,https://www.decantalo.com/uk/en/raimat-turons-de-la-pleta.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Tricó,18.32,Spain,13.5,2018.0,https://www.decantalo.com/uk/en/trico.html#/1-volume-75_cl/111-year-2018
5.0,1,white,75.0,Gómez Cruzado Blanco,11.97,Spain,12.9,2021.0,https://www.decantalo.com/uk/en/gomez-cruzado-blanco.html#/1-volume-75_cl/201-year-2021
4.8,5,white,75.0,Fillaboa,15.02,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/fillaboa.html#/1-volume-75_cl/201-year-2021
5.0,3,white,75.0,Marqués de Cáceres Excellens Sauvignon Blanc,9.74,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/marques-de-caceres-excellens-sauvignon-blanc.html#/1-volume-75_cl/201-year-2021
5.0,3,white,75.0,Mestizaje Blanco,11.24,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/mestizaje-blanco.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Palacio de Bornos La Caprichosa Verdejo,9.87,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/palacio-de-bornos-la-caprichosa-verdejo.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Viña Mayor Verdejo,8.11,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/vina-mayor-verdejo.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Baigorri Blanco Fermentado en Barrica,14.07,Spain,13.5,2017.0,https://www.decantalo.com/uk/en/baigorri-blanco-fermentado-en-barrica.html#/1-volume-75_cl/180-year-2017
5.0,1,white,75.0,Terras Gauda La Mar,22.05,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/terras-gauda-la-mar.html#/1-volume-75_cl/158-year-2020
3.0,2,white,75.0,El Enemigo Chardonnay,19.65,Argentina,13.5,2020.0,https://www.decantalo.com/uk/en/el-enemigo-chardonnay.html#/1-volume-75_cl/158-year-2020
4.0,1,white,75.0,Daterra Gavela da Vila,out of stock,Spain,12.5,2019.0,https://www.decantalo.com/uk/en/daterra-gavela-da-vila.html#/1-volume-75_cl/114-year-2019
4.5,2,white,75.0,Finca Garabelos,17.25,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/finca-garabelos.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Viña Do Avó Blanco,9.31,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/vina-do-avo-blanco.html#/1-volume-75_cl/158-year-2020
4.7,3,white,75.0,Suertes del Marques Trenzado,21.97,Spain,11.0,2021.0,https://www.decantalo.com/uk/en/suertes-del-marques-trenzado.html#/1-volume-75_cl/201-year-2021
4.8,5,white,75.0,Finca La Colina Sauvignon Blanc,14.59,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/finca-la-colina-sauvignon-blanc.html#/1-volume-75_cl/201-year-2021
4.4,12,white,75.0,Protos Verdejo,8.97,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/protos-verdejo.html#/1-volume-75_cl/201-year-2021
3.5,2,white,75.0,O Luar do Sil Godello,12.78,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/o-luar-do-sil-godello.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Txakoli Rezabal,11.63,Spain,11.0,2021.0,https://www.decantalo.com/uk/en/txakoli-rezabal.html#/1-volume-75_cl/201-year-2021
4.8,18,white,75.0,Enate Chardonnay Barrica,17.63,Spain,14.5,2021.0,https://www.decantalo.com/uk/en/enate-chardonnay-barrica.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Abracadabra Blanco,27.63,Spain,14.5,2019.0,https://www.decantalo.com/uk/en/abracadabra-blanco.html#/1-volume-75_cl/114-year-2019
0.0,0,white,75.0,Anselmo Mendes Muros de Melgaço,18.4,Portugal,13.0,2021.0,https://www.decantalo.com/uk/en/anselmo-mendes-muros-de-melgaco.html#/1-volume-75_cl/201-year-2021
4.6,5,white,75.0,Torre La Moreira,10.9,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/torre-la-moreira.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Muros Antigos Loureiro,8.67,Portugal,12.0,2021.0,https://www.decantalo.com/uk/en/muros-antigos-loureiro.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,S-Naia,9.1,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/s-naia.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Godeval,14.72,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/godeval.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Itsasmendi 7,15.06,Spain,14.0,2019.0,https://www.decantalo.com/uk/en/itsasmendi-7.html#/1-volume-75_cl/114-year-2019
0.0,0,white,75.0,Ktima Tselepos Blanc de Gris,16.98,Greece,12.9,2021.0,https://www.decantalo.com/uk/en/ktima-tselepos-blanc-de-gris.html#/1-volume-75_cl/201-year-2021
4.0,1,white,75.0,Paco & Lola Nº12,11.67,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/paco-lola-n12.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Turonia,14.16,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/turonia.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Izadi Larrosa Blanca,9.7,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/izadi-larrosa-blanca.html#/1-volume-75_cl/201-year-2021
