name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
Purple Duck Pinot Noir 2021,0,13.5,2021,750.0,Australia,Red Wine,11.99,15,3.2,https://www.laithwaites.co.uk/product/Purple-Duck-Pinot-Noir-2021/4174921
Willem the Silent 2020,0,14.5,2020,750.0,France,Red Wine,10.99,236,3.7,https://www.laithwaites.co.uk/product/Willem-the-Silent-2020/3793820
Opi Malbec Reserve 2020,0,14.0,2020,750.0,Argentina,Red Wine,15.99,276,4.4,https://www.laithwaites.co.uk/product/Opi-Malbec-Reserve-2020/2670020
Berton All Out Merlot 2021,0,14.5,2021,750.0,Australia,Red Wine,10.99,382,3.8,https://www.laithwaites.co.uk/product/Berton-All-Out-Merlot-2021/1496121
L'Épiphanie de Saint-Émilion Grand Cru 2019,0,14.5,2019,750.0,France,Red Wine,40.0,11,3.7,https://www.laithwaites.co.uk/product/L'%C3%89piphanie-de-Saint-%C3%89milion-Grand-Cru-2019/4144619
Il Basso Merlot 2021,0,12.0,2021,750.0,Italy,Red Wine,9.99,259,3.3,https://www.laithwaites.co.uk/product/Il-Basso-Merlot-2021/3761021
End of the Line Malbec 2021,0,13.0,2021,750.0,Argentina,Red Wine,8.99,157,3.6,https://www.laithwaites.co.uk/product/End-of-the-Line-Malbec-2021/3471021
La Cantera Reserva 2017,0,14.5,2017,750.0,Spain,Red Wine,11.99,348,3.7,https://www.laithwaites.co.uk/product/La-Cantera-Reserva-2017/0825717
Cuvée du Vatican Réserve de l'Abbé Côtes du Rhône 2020,0,14.0,2020,750.0,France,Red Wine,13.99,169,3.7,https://www.laithwaites.co.uk/product/Cuv%C3%A9e-du-Vatican-R%C3%A9serve-de-l'Abb%C3%A9-C%C3%B4tes-du-Rh%C3%B4ne-2020/2266020
Grande Réserve de Gassac Rouge 2020,0,14.0,2020,750.0,France,Red Wine,12.49,201,3.8,https://www.laithwaites.co.uk/product/Grande-R%C3%A9serve-de-Gassac-Rouge-2020/0086620
Ixsir Altitudes Rouge 2018,0,14.0,2018,750.0,Lebanon,Red Wine,20.0,7,3.6,https://www.laithwaites.co.uk/product/Ixsir-Altitudes-Rouge-2018/4151518
Vilarissa Valley 2019,0,14.0,2019,750.0,Portugal,Red Wine,11.99,244,4.4,https://www.laithwaites.co.uk/product/Vilarissa-Valley-2019/4036719
Grill House Shiraz Pinotage 2021,0,14.5,2021,750.0,South Africa,Red Wine,12.99,525,4.2,https://www.laithwaites.co.uk/product/Grill-House-Shiraz-Pinotage-2021/2233621
Barón de Barbón Reserva 2017,0,14.0,2017,750.0,Spain,Red Wine,16.99,92,3.9,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Reserva-2017/0041017
Il Brutto Negroamaro Primitivo 2021,0,13.0,2021,750.0,Italy,Red Wine,11.99,1097,4.1,https://www.laithwaites.co.uk/product/Il-Brutto-Negroamaro-Primitivo-2021/2045621
Senda de los Olivos Crianza 2016,0,14.5,2016,750.0,Spain,Red Wine,19.99,1,5.0,https://www.laithwaites.co.uk/product/Senda-de-los-Olivos-Crianza-2016/4127216
Saracosa 2019,0,13.0,2019,750.0,Italy,Red Wine,12.49,434,4.1,https://www.laithwaites.co.uk/product/Saracosa-2019/0557119
Rex Mundi Shiraz Grenache Wine Box 2021,0,13.0,2021,3000.0,France,Red Wine,30.0,14,4.9,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-Wine-Box-2021/4232821
Camino de Seda 2021,0,15.0,2021,750.0,Spain,Red Wine,11.99,1061,3.7,https://www.laithwaites.co.uk/product/Camino-de-Seda-2021/1855021
Mancura Carignan 2018,0,14.0,2018,750.0,Chile,Red Wine,10.99,1,5.0,https://www.laithwaites.co.uk/product/Mancura-Carignan-2018/4235518
RedHeads Coco Rôtie 2019,0,14.5,2019,750.0,Australia,Red Wine,14.99,134,3.9,https://www.laithwaites.co.uk/product/RedHeads-Coco-R%C3%B4tie-2019/2543019
Purezza Organic Red 2020,0,13.5,2020,750.0,Italy,Red Wine,9.99,6,4.2,https://www.laithwaites.co.uk/product/Purezza-Organic-Red-2020/4214120
Altos de la Guardia Crianza Rioja 2011,0,14.0,2011,750.0,Spain,Red Wine,17.99,31,3.5,https://www.laithwaites.co.uk/product/Altos-de-la-Guardia-Crianza-Rioja-2011/1516111
Charles Cros 2021,0,13.5,2021,750.0,France,Red Wine,11.99,139,4.3,https://www.laithwaites.co.uk/product/Charles-Cros-2021/3982021
