wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
white,75,Morrisons The Best Canto Real Rueda,7.75,3.8,6,Spain,13,,https://groceries.morrisons.com/products/morrisons-the-best-canto-real-rueda-119965011
white,75,Morrisons The Best Vinho Verde 'Loureiro' Wine,8.75,4.3,4,Portugal,12,2020,https://groceries.morrisons.com/products/morrisons-the-best-vinho-verde-loureiro-wine-551489011
white,75,Morrisons The Best Pinot Grigio Alto Adige Doc,10,3,1,Italy,13,,https://groceries.morrisons.com/products/morrisons-the-best-pinot-grigio-alto-adige-doc-552695011
white,75,Morrisons The Best Pinot Gris,9,3.3,4,France,13.5,2013,https://groceries.morrisons.com/products/morrisons-the-best-pinot-gris-261687011
white,18.7,Blossom Hill White Wine,2,0,0,Spain,12.5,NV,https://groceries.morrisons.com/products/blossom-hill-white-wine-570807011
white,75,Morrisons Organic Pinot Grigio,7.25,2.9,8,Italy,11.5,2018,https://groceries.morrisons.com/products/morrisons-organic-pinot-grigio-421208011
white,18.7,Barefoot White Zinfandel Rose Wine,2.25,0,0,United States,8.5,NV,https://groceries.morrisons.com/products/barefoot-white-zinfandel-rose-wine-555995011
white,75,Morrisons The Best Pouilly Fume,14,4,2,France,13,2015,https://groceries.morrisons.com/products/morrisons-the-best-pouilly-fume-310370011
white,75,Morrisons The Best Sancerre,17,2.7,3,France,13.5,2020,https://groceries.morrisons.com/products/morrisons-the-best-sancerre-480632011
white,75,Mad Fish Sauvignon Blanc,7,0,0,Western Australia,13,2020,https://groceries.morrisons.com/products/mad-fish-sauvignon-blanc-565441011
white,75,Morrisons The Best Riesling,8.5,3.5,8,Germany,12.5,2020,https://groceries.morrisons.com/products/morrisons-the-best-riesling-437970011
white,75,Morrisons The Best Chardonnay,8.75,3.2,6,Argentina,13,2016,https://groceries.morrisons.com/products/morrisons-the-best-chardonnay-410535011
white,75,Head Honcho Chardonnay,6,4,4,Chile,13.5,2018,https://groceries.morrisons.com/products/head-honcho-chardonnay-349454011
white,75,Barefoot Sauvignon Blanc White Wine,6,5,4,U,13,NV,https://groceries.morrisons.com/products/barefoot-sauvignon-blanc-white-wine-119942011
white,75,Freixenet Sauvignon Blanc,7,3,1,,13,2020,https://groceries.morrisons.com/products/freixenet-sauvignon-blanc-578065011
white,75,Echo Falls Pinot Grigio Rose,6.5,0,0,Italy,12,2019,https://groceries.morrisons.com/products/echo-falls-pinot-grigio-rose-551483011
white,75,Morrisons The Best Chablis Premier Cru,18,2.7,3,France,13,2012,https://groceries.morrisons.com/products/morrisons-the-best-chablis-premier-cru-119839011
white,225,Ortense Pinot Grigio Terre Di Chieti,13.5,0,0,Italy,12.5,,https://groceries.morrisons.com/products/ortense-pinot-grigio-terre-di-chieti-591900011
white,75,Rigal Vin Orange 75Cl,10,4,3,France,12,,https://groceries.morrisons.com/products/rigal-vin-orange-75cl-533890011
white,75,Charles Rousseau Sauvignon Blanc,8,4,3,France,11.5,2019,https://groceries.morrisons.com/products/charles-rousseau-sauvignon-blanc-527195011
