,name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score,retailer
61,The Dip 2020,15,2020,75,Spain,Red,10.99,205,4.2,https://www.laithwaites.co.uk/product/The-Dip-2020/4159120,ESP,10.99,1.040997692,10.99,2,4.2,laithwaites
62,Santa Magdalena Balduzzi 2020,13.5,2020,75,Chile,Red,11.99,219,4.3,https://www.laithwaites.co.uk/product/Santa-Magdalena-Balduzzi-2020/4025520,CHL,11.99,1.078819183,11.99,2,4.3,laithwaites
63,Sancho Garcés Rioja 2020,14,2020,75,Spain,Red,7.99,17,3.5,https://www.laithwaites.co.uk/product/Sancho-Garc%C3%A9s-Rioja-2020/4127920,ESP,7.99,0.902546779,7.99,2,3.5,laithwaites
64,Familia Martínez Bujanda Reserva 2015,14,2015,75,Spain,Red,18.99,72,3.8,https://www.laithwaites.co.uk/product/Familia-Mart%C3%ADnez-Bujanda-Reserva-2015/2151715,ESP,18.99,1.278524965,18.99,7,3.8,laithwaites
65,Finca Libertad Tinto NV,13.5,NV,75,Spain,Red,8.49,150,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2015/3942021,ESP,8.49,0.92890769,8.49,,3.3,laithwaites
66,The Black Stump Reserve Shiraz 2021,14.5,2021,75,Australia,Red,14.99,729,4.2,https://www.laithwaites.co.uk/product/The-Black-Stump-Reserve-Shiraz-2021/0287221,AUS,14.99,1.175801633,14.99,1,4.2,laithwaites
67,Château Moine Vieux Saint-Émilion Grand Cru 2016,14,2016,75,France,Red,22,18,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Moine-Vieux-Saint-%C3%89milion-Grand-Cru-2016/4143116,FRA,22,1.342422681,22,6,3.7,laithwaites
68,La Chiamata Montepulciano d'Abruzzo 2019,13.5,2019,75,Italy,Red,10.99,225,4,https://www.laithwaites.co.uk/product/La-Chiamata-Montepulciano-d'Abruzzo-2019/3969819,ITA,10.99,1.040997692,10.99,3,4,laithwaites
69,Uncle Zin 2019,14.5,2019,75,Italy,Red,12.99,119,4.3,https://www.laithwaites.co.uk/product/Uncle-Zin-2019/3684319,ITA,12.99,1.113609151,12.99,3,4.3,laithwaites
70,Quinta do Espírito Santo 2020,15,2020,75,Portugal,Red,11.49,685,4,https://www.laithwaites.co.uk/product/Quinta-do-Esp%C3%ADrito-Santo-2020/0061720,PRT,11.49,1.060320029,11.49,2,4,laithwaites
71,Saracosa Governo Rosso 2021,13.5,2021,75,Italy,Red,18.49,537,4.5,https://www.laithwaites.co.uk/product/Saracosa-Governo-Rosso-2021/3119021,ITA,18.49,1.266936911,18.49,1,4.5,laithwaites
72,Maison Dominique Piron Beaujolais-Villages 2020,13.5,2020,75,France,Red,14.49,70,4.1,https://www.laithwaites.co.uk/product/Maison-Dominique-Piron-Beaujolais-Villages-2020/2587020,FRA,14.49,1.161068385,14.49,2,4.1,laithwaites
73,Corsiero Nero 2021,13.5,2021,75,Italy,Red,11.99,1843,4.2,https://www.laithwaites.co.uk/product/Corsiero-Nero-2021/1541021,ITA,11.99,1.078819183,11.99,1,4.2,laithwaites
74,Willy Willy Shiraz 2021,14.5,2021,75,Australia,Red,11.99,1279,3.8,https://www.laithwaites.co.uk/product/Willy-Willy-Shiraz-2021/0017021,AUS,11.99,1.078819183,11.99,1,3.8,laithwaites
75,Purple Duck Pinot Noir 2021,13.5,2021,75,Australia,Red,11.99,15,3.2,https://www.laithwaites.co.uk/product/Purple-Duck-Pinot-Noir-2021/4174921,AUS,11.99,1.078819183,11.99,1,3.2,laithwaites
76,Willem the Silent 2020,14.5,2020,75,France,Red,10.99,236,3.7,https://www.laithwaites.co.uk/product/Willem-the-Silent-2020/3793820,FRA,10.99,1.040997692,10.99,2,3.7,laithwaites
77,Opi Malbec Reserve 2020,14,2020,75,Argentina,Red,15.99,276,4.4,https://www.laithwaites.co.uk/product/Opi-Malbec-Reserve-2020/2670020,ARG,15.99,1.203848464,15.99,2,4.4,laithwaites
78,Berton All Out Merlot 2021,14.5,2021,75,Australia,Red,10.99,382,3.8,https://www.laithwaites.co.uk/product/Berton-All-Out-Merlot-2021/1496121,AUS,10.99,1.040997692,10.99,1,3.8,laithwaites
79,L'Épiphanie de Saint-Émilion Grand Cru 2019,14.5,2019,75,France,Red,40,11,3.7,https://www.laithwaites.co.uk/product/L'%C3%89piphanie-de-Saint-%C3%89milion-Grand-Cru-2019/4144619,FRA,40,1.602059991,40,3,3.7,laithwaites
80,Il Basso Merlot 2021,12,2021,75,Italy,Red,9.99,259,3.3,https://www.laithwaites.co.uk/product/Il-Basso-Merlot-2021/3761021,ITA,9.99,0.999565488,9.99,1,3.3,laithwaites
81,End of the Line Malbec 2021,13,2021,75,Argentina,Red,8.99,157,3.6,https://www.laithwaites.co.uk/product/End-of-the-Line-Malbec-2021/3471021,ARG,8.99,0.953759692,8.99,1,3.6,laithwaites
82,La Cantera Reserva 2017,14.5,2017,75,Spain,Red,11.99,348,3.7,https://www.laithwaites.co.uk/product/La-Cantera-Reserva-2017/0825717,ESP,11.99,1.078819183,11.99,5,3.7,laithwaites
83,Cuvée du Vatican Réserve de l'Abbé Côtes du Rhône 2020,14,2020,75,France,Red,13.99,169,3.7,https://www.laithwaites.co.uk/product/Cuv%C3%A9e-du-Vatican-R%C3%A9serve-de-l'Abb%C3%A9-C%C3%B4tes-du-Rh%C3%B4ne-2020/2266020,FRA,13.99,1.145817714,13.99,2,3.7,laithwaites
84,Grande Réserve de Gassac Rouge 2020,14,2020,75,France,Red,12.49,201,3.8,https://www.laithwaites.co.uk/product/Grande-R%C3%A9serve-de-Gassac-Rouge-2020/0086620,FRA,12.49,1.096562438,12.49,2,3.8,laithwaites
85,Ixsir Altitudes Rouge 2018,14,2018,75,Lebanon,Red,20,7,3.6,https://www.laithwaites.co.uk/product/Ixsir-Altitudes-Rouge-2018/4151518,LBN,20,1.301029996,20,4,3.6,laithwaites
86,Vilarissa Valley 2019,14,2019,75,Portugal,Red,11.99,244,4.4,https://www.laithwaites.co.uk/product/Vilarissa-Valley-2019/4036719,PRT,11.99,1.078819183,11.99,3,4.4,laithwaites
87,Grill House Shiraz Pinotage 2021,14.5,2021,75,South Africa,Red,12.99,525,4.2,https://www.laithwaites.co.uk/product/Grill-House-Shiraz-Pinotage-2021/2233621,ZAF,12.99,1.113609151,12.99,1,4.2,laithwaites
