,name,country,wine_type,year,scaled_price,score,num_review,abv,age,size(cL),logprice
3286,Anka,Chile,red,2015.0,18.36,0.0,0,14.4,7.0,75.0,1.2638726768652235
3287,Les Crestes,Spain,red,2020.0,18.36,0.0,1,15.0,2.0,75.0,1.2638726768652235
3288,Dominio del Pidio Tinto,Spain,red,2019.0,41.44,0.0,0,14.0,3.0,75.0,1.6174197467371765
3289,La Atalaya del Camino,Spain,red,2020.0,13.13,4.7,7,15.0,2.0,75.0,1.1182647260894794
3290,Barbazul,Spain,red,2020.0,10.42,4.9,9,15.0,2.0,75.0,1.0178677189635057
3291,De Sol a Sol Velasco,Spain,red,2018.0,12.44,0.0,0,14.5,4.0,75.0,1.0948203803547998
3292,Ceretto Barolo Brunate,Italy,red,2016.0,,0.0,0,14.0,6.0,75.0,
3293,Gorrondona Tinto,Spain,red,2020.0,17.46,0.0,0,12.9,2.0,75.0,1.242044239369551
3294,Perelada Finca Malaveïna,Spain,red,2019.0,21.11,0.0,2,14.5,3.0,75.0,1.3244882333076564
3295,Silencio de Miros,Spain,red,2018.0,39.17,0.0,1,14.0,4.0,75.0,1.592953571547866
3296,Conceito Bastardo,Portugal,red,2020.0,29.39,0.0,0,13.0,2.0,75.0,1.4681995860726125
3297,Luigi Tacchino Barbera del Monferrato,Italy,red,2016.0,10.49,0.0,0,13.0,6.0,75.0,1.0207754881935578
3298,Cune Reserva,Spain,red,2018.0,12.31,0.0,4,13.5,4.0,75.0,1.0902580529313164
3299,Vega Sicilia Único,Spain,red,2012.0,324.25,0.0,5,14.5,10.0,75.0,2.5108799847561176
3300,Palazzo Brunello di Montalcino,Italy,red,2016.0,36.24,0.0,0,14.0,6.0,75.0,1.5591881890047754
3301,Le Batossay Ouech Cousin,France,red,2020.0,24.43,0.0,0,12.5,2.0,75.0,1.3879234669734368
3302,Preludio de Sei Solo,Spain,red,2019.0,24.32,0.0,1,15.0,3.0,75.0,1.3859635706006974
3303,Opus One,United States,red,2018.0,362.86,0.0,0,13.5,4.0,75.0,2.559739096233808
3304,Marcel Lapierre Morgon,France,red,2021.0,22.87,0.0,3,12.5,1.0,75.0,1.3592661646067485
3305,Sommos Varietales Tinto,Spain,red,2020.0,10.38,0.0,0,14.5,2.0,75.0,1.0161973535124391
3306,Castaño Monastrell,Spain,red,2020.0,8.11,0.0,0,13.5,2.0,75.0,0.909020854211156
3307,La Penitencia,Spain,red,2020.0,,0.0,0,13.5,2.0,75.0,
3308,Avelino Vegas Áureo,Spain,red,2016.0,21.97,0.0,0,14.5,6.0,75.0,1.3418300569205104
3309,Vizcarra Garnacha,Spain,red,2019.0,23.12,0.0,0,14.0,3.0,75.0,1.3639878297484915
3310,Villa Matilde Aglianico Rocca dei Leoni,Italy,red,2017.0,12.1,0.0,0,14.0,5.0,75.0,1.08278537031645
3311,Opus One,United States,red,2018.0,362.86,0.0,0,13.5,4.0,75.0,2.559739096233808
3312,12 Lunas,Spain,red,2019.0,11.11,0.0,0,14.0,3.0,75.0,1.0457140589408676
3313,Sileo,Spain,red,2021.0,12.14,0.0,0,13.5,1.0,75.0,1.0842186867392387
3314,João Tavares de Pina Rufia! Tinto,Portugal,red,2019.0,13.57,0.0,0,11.0,3.0,75.0,1.132579847659737
3315,Opus One,United States,red,2018.0,362.86,0.0,0,13.5,4.0,75.0,2.559739096233808
3316,Fattoria Rodano Chianti Classico,Italy,red,2019.0,15.57,0.0,3,14.0,3.0,75.0,1.1922886125681202
