name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Viña del Portillo Reserva 2015,14.0,2015,75.0,Spain,Red Wine,10.99,20.0,3.4,https://www.laithwaites.co.uk/product/Vi%C3%B1a-del-Portillo-Reserva-2015/3590115,ESP,10.99,1.0409976924234905,10.99,7.0,3.4
Baía de Tróia Castelão 2020,15.0,2020,75.0,Portugal,Red Wine,12.99,567.0,4.5,https://www.laithwaites.co.uk/product/Ba%C3%ADa-de-Tr%C3%B3ia-Castel%C3%A3o-2020/3497020,PRT,12.99,1.113609151073028,12.99,2.0,4.5
El Bombero 2021,14.5,2021,75.0,Spain,Red Wine,10.99,2114.0,3.9,https://www.laithwaites.co.uk/product/El-Bombero-2021/0003921,ESP,10.99,1.0409976924234905,10.99,1.0,3.9
w/o Frappato 2020,13.5,2020,75.0,Italy,Red Wine,11.99,159.0,3.9,https://www.laithwaites.co.uk/product/w/o-Frappato-2020/4160220,ITA,11.99,1.0788191830988487,11.99,2.0,3.9
Le XV du Président 2021,14.0,2021,75.0,France,Red Wine,12.99,762.0,4.4,https://www.laithwaites.co.uk/product/Le-XV-du-Pr%C3%A9sident-2021/3310021,FRA,12.99,1.113609151073028,12.99,1.0,4.4
The Forefather Gran Selección Malbec Shiraz 2020,14.0,2020,75.0,Argentina,Red Wine,14.99,98.0,4.0,https://www.laithwaites.co.uk/product/The-Forefather-Gran-Selecci%C3%B3n-Malbec-Shiraz-2020/0399920,ARG,14.99,1.1758016328482794,14.99,2.0,4.0
Don Cayetano Merlot 2021,12.5,2021,75.0,Chile,Red Wine,8.99,177.0,3.4,https://www.laithwaites.co.uk/product/Don-Cayetano-Merlot-2021/0064121,CHL,8.99,0.9537596917332288,8.99,1.0,3.4
Il Papavero Primitivo 2020,13.5,2020,75.0,Italy,Red Wine,10.99,696.0,4.1,https://www.laithwaites.co.uk/product/Il-Papavero-Primitivo-2020/0121320,ITA,10.99,1.0409976924234905,10.99,2.0,4.1
Cleanskin SA Cabernet Sauvignon 2020,14.0,2020,75.0,Australia,Red Wine,14.99,23.0,4.4,https://www.laithwaites.co.uk/product/Cleanskin-SA-Cabernet-Sauvignon-2020/4136220,AUS,14.99,1.1758016328482794,14.99,2.0,4.4
Project Malbec 2021,13.0,2021,75.0,Argentina,Red Wine,8.99,127.0,3.8,https://www.laithwaites.co.uk/product/Project-Malbec-2021/3980021,ARG,8.99,0.9537596917332288,8.99,1.0,3.8
Le Prince de Courthézon Côtes du Rhône 2020,14.0,2020,75.0,France,Red Wine,12.99,576.0,3.8,https://www.laithwaites.co.uk/product/Le-Prince-de-Courth%C3%A9zon-C%C3%B4tes-du-Rh%C3%B4ne-2020/0455720,FRA,12.99,1.113609151073028,12.99,2.0,3.8
Farinelli Rosso NV,12.5,NV,75.0,Italy,Red Wine,7.99,304.0,3.4,https://www.laithwaites.co.uk/product/Farinelli-Rosso-2020/2247120,ITA,7.99,0.9025467793139914,7.99,,3.4
Miravalles Estate Malbec 2021,13.5,2021,75.0,Argentina,Red Wine,8.99,,,https://www.laithwaites.co.uk/product/Miravalles-Estate-Malbec-2021/4205221,ARG,8.99,0.9537596917332288,8.99,1.0,0.0
Pillastro Selezione d'Oro 2021,14.0,2021,75.0,Italy,Red Wine,15.49,607.0,4.5,https://www.laithwaites.co.uk/product/Pillastro-Selezione-d'Oro-2021/0307821,ITA,15.49,1.190051417759206,15.49,1.0,4.5
La Fonte d'Oro 2020,14.0,2020,75.0,Italy,Red Wine,14.99,242.0,4.5,https://www.laithwaites.co.uk/product/La-Fonte-d'Oro-2020/0307720,ITA,14.99,1.1758016328482794,14.99,2.0,4.5
Concettina Rosso 2020,13.5,2020,75.0,Italy,Red Wine,10.99,10.0,4.7,https://www.laithwaites.co.uk/product/Concettina-Rosso-2020/4213920,ITA,10.99,1.0409976924234905,10.99,2.0,4.7
Hand Select Cleanskin Cabernet Sauvignon 2021,14.0,2021,75.0,Australia,Red Wine,16.99,3.0,3.7,https://www.laithwaites.co.uk/product/Hand-Select-Cleanskin-Cabernet-Sauvignon-2021/4253321,AUS,16.99,1.2301933788690456,16.99,1.0,0.0
Château Le Coin Bordeaux 2020,14.5,2020,75.0,France,Red Wine,13.99,411.0,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Le-Coin-Bordeaux-2020/0607720,FRA,13.99,1.1458177144918276,13.99,2.0,3.7
Boscwood SA Petit Verdot Shiraz 2020,14.0,2020,75.0,Australia,Red Wine,12.99,105.0,3.7,https://www.laithwaites.co.uk/product/Boscwood-SA-Petit-Verdot-Shiraz-2020/4063920,AUS,12.99,1.113609151073028,12.99,2.0,3.7
The Waxed Bat (half bottle) 2021,14.0,2021,37.5,Argentina,Red Wine,5.99,,,https://www.laithwaites.co.uk/product/The-Waxed-Bat-(half-bottle)-2021/4109021,ARG,11.98,1.0784568180532925,5.99,1.0,0.0
Tierras de la Fuente Organic Tempranillo Syrah 2020,13.5,2020,75.0,Spain,Red Wine,7.49,214.0,3.2,https://www.laithwaites.co.uk/product/Tierras-de-la-Fuente-Organic-Tempranillo-Syrah-2020/3178520,ESP,7.49,0.8744818176994665,7.49,2.0,3.2
The Patriots Merlot 2021,12.5,2021,75.0,Chile,Red Wine,9.99,702.0,3.5,https://www.laithwaites.co.uk/product/The-Patriots-Merlot-2021/2257221,CHL,9.99,0.9995654882259823,9.99,1.0,3.5
Grant Burge Corryton Park Cabernet Sauvignon 2019,14.5,2019,75.0,Australia,Red Wine,30.0,2.0,4.0,https://www.laithwaites.co.uk/product/Grant-Burge-Corryton-Park-Cabernet-Sauvignon-2019/4174119,AUS,30.0,1.4771212547196624,30.0,3.0,0.0
Mach 2t Cabernet Petit Verdot 2021,14.5,2021,75.0,Australia,Red Wine,11.99,5.0,4.8,https://www.laithwaites.co.uk/product/Mach-2t-Cabernet-Petit-Verdot-2021/4204421,AUS,11.99,1.0788191830988487,11.99,1.0,0.0
HJ Fabre Barrel Selection Patagonia Malbec 2020,14.5,2020,75.0,Argentina,Red Wine,17.99,241.0,4.2,https://www.laithwaites.co.uk/product/HJ-Fabre-Barrel-Selection-Patagonia-Malbec-2020/0232420,ARG,17.99,1.2550311633455513,17.99,2.0,4.2
The Dip 2020,15.0,2020,75.0,Spain,Red Wine,10.99,205.0,4.2,https://www.laithwaites.co.uk/product/The-Dip-2020/4159120,ESP,10.99,1.0409976924234905,10.99,2.0,4.2
Santa Magdalena Balduzzi 2020,13.5,2020,75.0,Chile,Red Wine,11.99,219.0,4.3,https://www.laithwaites.co.uk/product/Santa-Magdalena-Balduzzi-2020/4025520,CHL,11.99,1.0788191830988487,11.99,2.0,4.3
Sancho Garcés Rioja 2020,14.0,2020,75.0,Spain,Red Wine,7.99,17.0,3.5,https://www.laithwaites.co.uk/product/Sancho-Garc%C3%A9s-Rioja-2020/4127920,ESP,7.99,0.9025467793139914,7.99,2.0,3.5
Familia Martínez Bujanda Reserva 2015,14.0,2015,75.0,Spain,Red Wine,18.99,72.0,3.8,https://www.laithwaites.co.uk/product/Familia-Mart%C3%ADnez-Bujanda-Reserva-2015/2151715,ESP,18.99,1.2785249647370176,18.99,7.0,3.8
Finca Libertad Tinto NV,13.5,NV,75.0,Spain,Red Wine,8.49,150.0,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2015/3942021,ESP,8.49,0.9289076902439527,8.49,,3.3
The Black Stump Reserve Shiraz 2021,14.5,2021,75.0,Australia,Red Wine,14.99,729.0,4.2,https://www.laithwaites.co.uk/product/The-Black-Stump-Reserve-Shiraz-2021/0287221,AUS,14.99,1.1758016328482794,14.99,1.0,4.2
Château Moine Vieux Saint-Émilion Grand Cru 2016,14.0,2016,75.0,France,Red Wine,22.0,18.0,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Moine-Vieux-Saint-%C3%89milion-Grand-Cru-2016/4143116,FRA,22.0,1.3424226808222062,22.0,6.0,3.7
La Chiamata Montepulciano d'Abruzzo 2019,13.5,2019,75.0,Italy,Red Wine,10.99,225.0,4.0,https://www.laithwaites.co.uk/product/La-Chiamata-Montepulciano-d'Abruzzo-2019/3969819,ITA,10.99,1.0409976924234905,10.99,3.0,4.0
Uncle Zin 2019,14.5,2019,75.0,Italy,Red Wine,12.99,119.0,4.3,https://www.laithwaites.co.uk/product/Uncle-Zin-2019/3684319,ITA,12.99,1.113609151073028,12.99,3.0,4.3
Quinta do Espírito Santo 2020,15.0,2020,75.0,Portugal,Red Wine,11.49,685.0,4.0,https://www.laithwaites.co.uk/product/Quinta-do-Esp%C3%ADrito-Santo-2020/0061720,PRT,11.49,1.0603200286882852,11.49,2.0,4.0
Saracosa Governo Rosso 2021,13.5,2021,75.0,Italy,Red Wine,18.49,537.0,4.5,https://www.laithwaites.co.uk/product/Saracosa-Governo-Rosso-2021/3119021,ITA,18.49,1.266936911159173,18.49,1.0,4.5
