,name,wine_type,country,year,price,scaledprice,score,num_review,abv,size(cL),age,logprice
66,Vashon Estate Cabernet Sauvignon Merlot 2021,Red,Australia,2021,10.99,10.99,4.2,506,14.0,75.0,1.0,1.0409976924234905
67,Mountain View Marlborough Sauvignon Blanc 2020,White,New Zealand,2020,13.99,13.99,4.2,226,9.5,75.0,2.0,1.1458177144918276
68,Targa Rioja Organic Tempranillo Garnacha 2020,Red,Spain,2020,16.99,16.99,4.2,474,13.5,75.0,2.0,1.2301933788690456
69,Perez Cruz Cabernet Sauvignon Reserva 2018,Red,Chile,2018,13.99,13.99,4.3,1826,13.5,75.0,4.0,1.1458177144918276
70,Pizo Garnacha Blanca 2020,White,Spain,2020,10.99,10.99,3.9,309,13.0,75.0,2.0,1.0409976924234905
71,Champagne Laurent Perrier La Cuvee NV,Sparkling,France,Non Vintage,43.99,43.99,4.6,161,12.0,75.0,,1.643353961976863
72,Chateau de Lancyre La Rouviere Pic St Loup Blanc 2019,White,France,2019,14.99,14.99,4.1,22,13.5,75.0,3.0,1.1758016328482794
73,5OS Project Nero Blend 2018,Red,Australia,2018,16.99,16.99,4.4,48,14.5,75.0,4.0,1.2301933788690456
74,Peter-Jakob Kuhn Rheinschiefer Hallgartgen Riesling Trocken 2019,White,Germany,2019,21.99,21.99,4.4,17,12.0,75.0,3.0,1.3422252293607904
75,5oS Project McLaren Vale Shiraz Roussanne 2018,Red,Australia,2018,19.99,19.99,4.8,11,14.5,75.0,4.0,1.300812794118117
76,Kir Yianni Assyrtiko 2020,White,Greece,2020,14.99,14.99,4.3,32,13.0,75.0,2.0,1.1758016328482794
77,Olivier Leflaive Pernand-Vergelesses Rouge 2020,Red,France,2020,34.99,34.99,0.0,0,13.5,75.0,2.0,1.5439439424829065
78,Domaine des Deux Roches Saint Veran Rives de Longsault 2019,White,France,2019,23.99,23.99,0.0,0,13.5,75.0,3.0,1.3800302479678306
79,Le Zeitgeist Grenache Syrah 2021,Red,France,2021,10.99,10.99,0.0,0,13.0,75.0,1.0,1.0409976924234905
80,Abel Mendoza Rioja DOCa Jarrarte Blanco 2021,White,Spain,2021,15.99,15.99,0.0,0,14.0,75.0,1.0,1.2038484637462348
81,Capcanes Sense Cap DO Cava NV,Sparkling,Spain,Non Vintage,14.99,14.99,0.0,0,11.5,75.0,,1.1758016328482794
82,Capcanes Mas Torto Garnacha 2020,Red,Spain,2020,24.99,24.99,0.0,0,11.5,75.0,2.0,1.39776625612645
83,De Martino Enigma 10 Special Edition 2021,Red,Chile,2021,19.99,19.99,0.0,0,14.0,75.0,1.0,1.300812794118117
84,Magic & Bird Padthaway Shiraz 2021,Red,Australia,2021,16.99,16.99,0.0,2,14.0,75.0,1.0,1.2301933788690456
