name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Hattingley Valley Classic Reserve Brut NV,12.0,NV,75.0,England,Sparkling,32.0,7,4.1,https://www.virginwines.co.uk/wine/Z38402102951/Hattingley-Valley-Classic-Reserve-Brut,unknown,32.0,1.505149978319906,32.0,,4.1
The Cup & Rings Mencia 2016,13.0,2016,75.0,Spain,Red,14.99,1,1.0,https://www.virginwines.co.uk/wine/Z41946103510/The-Cup-and-Rings-Mencia,ESP,14.99,1.1758016328482794,14.99,6.0,0.0
The Benevolent Pinot Grigio 2021,9.5,2021,75.0,Chile,White,11.99,20,4.5,https://www.virginwines.co.uk/wine/Z41883101414/The-Benevolent-Pinot-Grigio,CHL,11.99,1.0788191830988487,11.99,1.0,4.5
Albacore Reserve Shiraz 2020,14.0,2020,75.0,Australia,Red,12.99,3050,4.4,https://www.virginwines.co.uk/wine/Z36773102291/Albacore-Reserve-Shiraz-Z36773102291,AUS,12.99,1.113609151073028,12.99,2.0,4.4
Weingut Langguth Enkircher Ellergrub Riesling Alte Reben 2020,11.0,2020,75.0,Germany,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z41994101465/Weingut-Langguth-Enkircher-Ellergrub-Riesling-Alte-Reben,DEU,19.99,1.300812794118117,19.99,2.0,0.0
Litmus Element 20 2014,12.0,2014,75.0,England,White,19.99,18,3.8,https://www.virginwines.co.uk/wine/Z39697103059/Litmus-Element-20,unknown,19.99,1.300812794118117,19.99,8.0,3.8
La Traversee 2018,14.0,2018,75.0,France,Red,29.99,97,4.6,https://www.virginwines.co.uk/wine/Z35989100707/La-Traversee,FRA,29.99,1.476976465759527,29.99,4.0,4.6
Chateau Musar Hochar Pere et Fils 2018,14.0,2018,75.0,Lebanon,Red,17.99,45,4.3,https://www.virginwines.co.uk/wine/Z40237101961/Chateau-Musar-Hochar-Pere-et-Fils,LBN,17.99,1.2550311633455513,17.99,4.0,4.3
El Zumbido Viura 2021,12.0,2021,75.0,Spain,White,9.99,2345,3.9,https://www.virginwines.co.uk/wine/Z37554102647/El-Zumbido-Viura,ESP,9.99,0.9995654882259823,9.99,1.0,3.9
Bastions V Shiraz 2021,14.0,2021,75.0,South Africa,Red,10.99,1223,4.2,https://www.virginwines.co.uk/wine/Z37423100009/Bastions-V-Shiraz,ZAF,10.99,1.0409976924234905,10.99,1.0,4.2
Reserve de Millenaire Tete de Cuvee Bourgogne Blanc 2020,13.0,2020,75.0,France,White,11.99,402,3.8,https://www.virginwines.co.uk/wine/Z33818100780/Reserve-de-Millenaire-Tete-de-Cuvee-Bourgogne-Blanc,FRA,11.99,1.0788191830988487,11.99,2.0,3.8
Finca Manzanos Seleccion de la Familia Rioja 2020,13.5,2020,75.0,Spain,Red,11.99,2939,4.1,https://www.virginwines.co.uk/wine/Z35385101434/Finca-Manzanos-Seleccion-de-la-Familia-Rioja,ESP,11.99,1.0788191830988487,11.99,2.0,4.1
Ulrich Langguth Piesporter Goldtropfchen Trocken Grosses Gewachs 2018,12.0,2018,75.0,Germany,White,24.99,0,0.0,https://www.virginwines.co.uk/wine/Z41995101465/Ulrich-Langguth-Piesporter-Goldtropfchen-Trocken-Grosses-Gewachs,DEU,24.99,1.39776625612645,24.99,4.0,0.0
