rating,num_review,wine_type,size(cL),name,price,country,abv,year,url,age,score,scaled_price,logprice,countrycode,price_fixed
0.0,0,red,75.0,Atamisque Serbal Malbec,13.26,Argentina,13.5,2021.0,https://www.decantalo.com/uk/en/atamisque-serbal-malbec.html#/1-volume-75_cl/201-year-2021,1.0,0.0,13.26,1.1225435240687542,ARG,13.26
0.0,0,red,75.0,Matías Riccitelli Old Vines Pinot Noir from Patagonia,,Argentina,13.5,2020.0,https://www.decantalo.com/uk/en/matias-riccitelli-old-vines-pinot-noir-from-patagonia.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ARG,
0.0,0,red,75.0,Torbreck RunRig Shiraz,221.8,Australia,15.0,2018.0,https://www.decantalo.com/uk/en/torbreck-runrig-shiraz.html#/1-volume-75_cl/180-year-2017,4.0,0.0,221.8,2.3459615418131414,AUS,221.8
0.0,0,red,75.0,Torbreck RunRig Shiraz,221.8,Australia,15.0,2018.0,https://www.decantalo.com/uk/en/torbreck-runrig-shiraz.html#/1-volume-75_cl/111-year-2018,4.0,0.0,221.8,2.3459615418131414,AUS,221.8
0.0,0,red,75.0,Balnaves Cabernet Merlot,24.09,Australia,14.0,2016.0,https://www.decantalo.com/uk/en/balnaves-cabernet-merlot.html#/1-volume-75_cl/102-year-2016,6.0,0.0,24.09,1.3818367999983434,AUS,24.09
0.0,0,red,75.0,Balnaves The Blend,18.4,Australia,13.5,2017.0,https://www.decantalo.com/uk/en/balnaves-the-blend.html#/1-volume-75_cl/180-year-2017,5.0,0.0,18.4,1.2648178230095364,AUS,18.4
0.0,0,red,75.0,Jean-Claude Boisset Hautes-Côtes de Beaune,20.97,France,12.0,2019.0,https://www.decantalo.com/uk/en/jean-claude-boisset-hautes-cotes-de-beaune.html#/1-volume-75_cl/114-year-2019,3.0,0.0,20.97,1.3215984304653439,FRA,20.97
0.0,0,red,75.0,D'Arenberg The Footbolt Syrah,,Australia,14.5,2018.0,https://www.decantalo.com/uk/en/d-arenberg-the-footbolt-syrah.html#/1-volume-75_cl/111-year-2018,4.0,0.0,,,AUS,
0.0,0,red,75.0,Domaine des Tourelles Vieilles Vignes Cinsault,22.34,Lebanon,14.0,2017.0,https://www.decantalo.com/uk/en/domaine-des-tourelles-vieilles-vignes-cinsault.html#/1-volume-75_cl/180-year-2017,5.0,0.0,22.34,1.3490831687795903,LBN,22.34
0.0,0,red,75.0,Veramonte Pinot Noir Reserva,11.45,Chile,13.0,2020.0,https://www.decantalo.com/uk/en/veramonte-pinot-noir-reserva.html#/1-volume-75_cl/114-year-2019,2.0,0.0,11.45,1.0588054866759067,CHL,11.45
